group,mode,kernel,vf_a,vf_b,predicted_ratio,measured_ratio,predicted_change,measured_change
core,legacy,s000,2,4,0.8333333333333334,0.38361084388918787,-0.16666666666666663,-0.6163891561108121
core,legacy,s000,4,8,0.9,0.964355746551848,-0.09999999999999998,-0.03564425344815203
core,legacy,s000,8,16,0.9444444444444444,0.9126218597138374,-0.05555555555555558,-0.08737814028616264
core,legacy,s125,2,4,0.9,0.5676092454891148,-0.09999999999999998,-0.43239075451088516
core,legacy,s125,4,8,0.9444444444444444,0.9693870725407263,-0.05555555555555558,-0.030612927459273687
core,legacy,s125,8,16,0.9705882352941176,0.9397653353432787,-0.02941176470588236,-0.06023466465672134
core,legacy,s311,2,4,0.8,0.5056508134853653,-0.19999999999999996,-0.49434918651463466
core,legacy,s311,4,8,1.125,1.0151063723780578,0.125,0.015106372378057786
core,legacy,s311,8,16,0.9444444444444444,0.7698265453367494,-0.05555555555555558,-0.23017345466325057
core,legacy,s1111,2,4,0.9807692307692307,1.005981764711898,-0.019230769230769273,0.005981764711898041
core,legacy,s1111,4,8,0.9901960784313726,0.8430114225923497,-0.009803921568627416,-0.15698857740765026
core,legacy,s1111,8,16,0.995049504950495,0.9673259080036625,-0.004950495049504955,-0.03267409199633753
core,legacy,s4112,2,4,0.9411764705882353,0.5948345266165121,-0.05882352941176472,-0.40516547338348785
core,legacy,s4112,4,8,0.96875,0.946985726978035,-0.03125,-0.05301427302196504
core,legacy,s4112,8,16,0.9919354838709677,1.0160895012113116,-0.008064516129032251,0.016089501211311585
core,legacy,jacobi-2d-imper-l00,2,4,0.925,0.607120581904179,-0.07499999999999996,-0.39287941809582105
core,legacy,jacobi-2d-imper-l00,4,8,0.9594594594594594,0.726043161125909,-0.04054054054054057,-0.27395683887409095
core,legacy,jacobi-2d-imper-l00,8,16,0.9788732394366197,1.457382236537608,-0.021126760563380254,0.4573822365376079
core,legacy,gesummv-l00,2,4,0.9230769230769231,0.7272664621491665,-0.07692307692307687,-0.27273353785083354
core,legacy,gesummv-l00,4,8,1.125,1.0621739212835488,0.125,0.062173921283548816
core,legacy,gesummv-l00,8,16,0.9814814814814815,0.8612670940443267,-0.01851851851851849,-0.13873290595567334
validation_informed,legacy,bicg-l01,2,4,0.9285714285714286,0.5775166275929902,-0.0714285714285714,-0.42248337240700984
validation_informed,legacy,bicg-l01,4,8,1.0384615384615385,0.9739342779792147,0.03846153846153855,-0.026065722020785276
validation_informed,legacy,bicg-l01,8,16,0.9814814814814815,0.9634358523725834,-0.01851851851851849,-0.036564147627416554
validation_informed,legacy,gemver-l00,2,4,0.9285714285714286,0.5596765412428371,-0.0714285714285714,-0.44032345875716294
validation_informed,legacy,gemver-l00,4,8,0.9615384615384616,0.9213248185010744,-0.038461538461538436,-0.0786751814989256
validation_informed,legacy,gemver-l00,8,16,0.98,0.9613281914084519,-0.020000000000000018,-0.03867180859154806
