group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,legacy,s000,2,1.5,471934,3.6005706787109375,1.0,1.0,1.0
core,legacy,s000,4,1.25,181039,1.3812179565429688,0.8333333333333334,0.38361084388918787,2.1723403981094314
core,legacy,s000,8,1.125,174586,1.3319854736328125,0.75,0.3699373217441422,2.027370464985738
core,legacy,s000,16,1.0625,159331,1.2155990600585938,0.7083333333333334,0.3376128865476952,2.09806367457264
core,legacy,s125,2,2.5,684788,5.224517822265625,1.0,1.0,1.0
core,legacy,s125,4,2.25,388692,2.965484619140625,0.9,0.5676092454891148,1.5855978512549784
core,legacy,s125,8,2.125,376793,2.8747024536132812,0.85,0.5502330648317435,1.5447999299350041
core,legacy,s125,16,2.0625,354097,2.7015457153320312,0.825,0.5170899606885635,1.595467061285467
core,legacy,s311,2,1.25,198467,1.5141830444335938,1.0,1.0,1.0
core,legacy,s311,4,1.0,100355,0.7656478881835938,0.8,0.5056508134853653,1.5821194758606947
core,legacy,s311,8,1.125,101871,0.7772140502929688,0.9,0.5132893629671431,1.7533969431928618
core,legacy,s311,16,1.0625,78423,0.5983200073242188,0.85,0.39514377705109666,2.151115744105683
core,legacy,s1111,2,6.5,1368994,10.444595336914062,1.0,1.0,1.0
core,legacy,s1111,4,6.375,1377183,10.507072448730469,0.9807692307692307,1.005981764711898,1.025706897353308
core,legacy,s1111,8,6.3125,1160981,8.857582092285156,0.9711538461538461,0.8480541185717395,1.1451555094024264
core,legacy,s1111,16,6.28125,1123047,8.568168640136719,0.9663461538461539,0.8203447202836536,1.177975709421299
core,legacy,s4112,2,4.25,1254522,9.571243286132812,1.0,1.0,1.0
core,legacy,s4112,4,4.0,746233,5.693305969238281,0.9411764705882353,0.5948345266165121,1.5822492281034128
core,legacy,s4112,8,3.875,706672,5.3914794921875,0.9117647058823529,0.563299806619573,1.618613560963136
core,legacy,s4112,16,3.84375,718042,5.4782257080078125,0.9044117647058824,0.5723630195405103,1.5801366158001244
core,legacy,jacobi-2d-imper-l00,2,5.0,1200885,9.162025451660156,1.0,1.0,1.0
core,legacy,jacobi-2d-imper-l00,4,4.625,729082,5.5624542236328125,0.925,0.607120581904179,1.5235853100199979
core,legacy,jacobi-2d-imper-l00,8,4.4375,529345,4.038581848144531,0.8875,0.4407957464703115,2.0134041834720264
core,legacy,jacobi-2d-imper-l00,16,4.34375,771458,5.8857574462890625,0.86875,0.6424078908471669,1.3523339491586062
core,legacy,gesummv-l00,2,3.25,507862,3.8746795654296875,1.0,1.0,1.0
core,legacy,gesummv-l00,4,3.0,369351,2.8179244995117188,0.9230769230769231,0.7272664621491665,1.2692417031704053
core,legacy,gesummv-l00,8,3.375,392315,2.9931259155273438,1.0384615384615385,0.7724834699189937,1.3443155470633392
core,legacy,gesummv-l00,16,3.3125,337888,2.577880859375,1.0192307692307692,0.6653145933344098,1.531953123292561
core,tp_only,s000,2,,471934,3.6005706787109375,,1.0,
core,tp_only,s000,4,,181039,1.3812179565429688,,0.38361084388918787,
core,tp_only,s000,8,,174586,1.3319854736328125,,0.3699373217441422,
core,tp_only,s000,16,,159331,1.2155990600585938,,0.3376128865476952,
core,tp_only,s125,2,,684788,5.224517822265625,,1.0,
core,tp_only,s125,4,,388692,2.965484619140625,,0.5676092454891148,
core,tp_only,s125,8,,376793,2.8747024536132812,,0.5502330648317435,
core,tp_only,s125,16,,354097,2.7015457153320312,,0.5170899606885635,
core,tp_only,s311,2,,198467,1.5141830444335938,,1.0,
core,tp_only,s311,4,,100355,0.7656478881835938,,0.5056508134853653,
core,tp_only,s311,8,,101871,0.7772140502929688,,0.5132893629671431,
core,tp_only,s311,16,,78423,0.5983200073242188,,0.39514377705109666,
core,tp_only,s1111,2,,1368994,10.444595336914062,,1.0,
core,tp_only,s1111,4,,1377183,10.507072448730469,,1.005981764711898,
core,tp_only,s1111,8,,1160981,8.857582092285156,,0.8480541185717395,
core,tp_only,s1111,16,,1123047,8.568168640136719,,0.8203447202836536,
core,tp_only,s4112,2,,1254522,9.571243286132812,,1.0,
core,tp_only,s4112,4,,746233,5.693305969238281,,0.5948345266165121,
core,tp_only,s4112,8,,706672,5.3914794921875,,0.563299806619573,
core,tp_only,s4112,16,,718042,5.4782257080078125,,0.5723630195405103,
core,tp_only,jacobi-2d-imper-l00,2,,1200885,9.162025451660156,,1.0,
core,tp_only,jacobi-2d-imper-l00,4,,729082,5.5624542236328125,,0.607120581904179,
core,tp_only,jacobi-2d-imper-l00,8,,529345,4.038581848144531,,0.4407957464703115,
core,tp_only,jacobi-2d-imper-l00,16,,771458,5.8857574462890625,,0.6424078908471669,
core,tp_only,gesummv-l00,2,,507862,3.8746795654296875,,1.0,
core,tp_only,gesummv-l00,4,,369351,2.8179244995117188,,0.7272664621491665,
core,tp_only,gesummv-l00,8,,392315,2.9931259155273438,,0.7724834699189937,
core,tp_only,gesummv-l00,16,,337888,2.577880859375,,0.6653145933344098,
core,lcd_only,s000,2,,471934,3.6005706787109375,,1.0,
core,lcd_only,s000,4,,181039,1.3812179565429688,,0.38361084388918787,
core,lcd_only,s000,8,,174586,1.3319854736328125,,0.3699373217441422,
core,lcd_only,s000,16,,159331,1.2155990600585938,,0.3376128865476952,
core,lcd_only,s125,2,,684788,5.224517822265625,,1.0,
core,lcd_only,s125,4,,388692,2.965484619140625,,0.5676092454891148,
core,lcd_only,s125,8,,376793,2.8747024536132812,,0.5502330648317435,
core,lcd_only,s125,16,,354097,2.7015457153320312,,0.5170899606885635,
core,lcd_only,s311,2,,198467,1.5141830444335938,,1.0,
core,lcd_only,s311,4,,100355,0.7656478881835938,,0.5056508134853653,
core,lcd_only,s311,8,,101871,0.7772140502929688,,0.5132893629671431,
core,lcd_only,s311,16,,78423,0.5983200073242188,,0.39514377705109666,
core,lcd_only,s1111,2,,1368994,10.444595336914062,,1.0,
core,lcd_only,s1111,4,,1377183,10.507072448730469,,1.005981764711898,
core,lcd_only,s1111,8,,1160981,8.857582092285156,,0.8480541185717395,
core,lcd_only,s1111,16,,1123047,8.568168640136719,,0.8203447202836536,
core,lcd_only,s4112,2,,1254522,9.571243286132812,,1.0,
core,lcd_only,s4112,4,,746233,5.693305969238281,,0.5948345266165121,
core,lcd_only,s4112,8,,706672,5.3914794921875,,0.563299806619573,
core,lcd_only,s4112,16,,718042,5.4782257080078125,,0.5723630195405103,
core,lcd_only,jacobi-2d-imper-l00,2,,1200885,9.162025451660156,,1.0,
core,lcd_only,jacobi-2d-imper-l00,4,,729082,5.5624542236328125,,0.607120581904179,
core,lcd_only,jacobi-2d-imper-l00,8,,529345,4.038581848144531,,0.4407957464703115,
core,lcd_only,jacobi-2d-imper-l00,16,,771458,5.8857574462890625,,0.6424078908471669,
core,lcd_only,gesummv-l00,2,,507862,3.8746795654296875,,1.0,
core,lcd_only,gesummv-l00,4,,369351,2.8179244995117188,,0.7272664621491665,
core,lcd_only,gesummv-l00,8,,392315,2.9931259155273438,,0.7724834699189937,
core,lcd_only,gesummv-l00,16,,337888,2.577880859375,,0.6653145933344098,
core,max_tp_lcd,s000,2,,471934,3.6005706787109375,,1.0,
core,max_tp_lcd,s000,4,,181039,1.3812179565429688,,0.38361084388918787,
core,max_tp_lcd,s000,8,,174586,1.3319854736328125,,0.3699373217441422,
core,max_tp_lcd,s000,16,,159331,1.2155990600585938,,0.3376128865476952,
core,max_tp_lcd,s125,2,,684788,5.224517822265625,,1.0,
core,max_tp_lcd,s125,4,,388692,2.965484619140625,,0.5676092454891148,
core,max_tp_lcd,s125,8,,376793,2.8747024536132812,,0.5502330648317435,
core,max_tp_lcd,s125,16,,354097,2.7015457153320312,,0.5170899606885635,
