group,compute_recipes,compute_tp,cpu,dominant_recurrence,eligible,exclusion_reason,fallback_reason,final_score,fma_pairs,fma_savings_tp,full_evl_savings_tp,full_width_iterations,function,kind,lcd,legacy_cost,loop,memory_recipes,memory_tp,ordinary_pressure_excluded,other_recipes,other_tp,recurrence_distance,runtime_vf,scalable,scalar_address_register_recipes,target,tp,vf,zero_cost_recipes,kernel,profile,measured_cycles,measured_relative_vf2,allocation_frame_lines
core,1,1,xiangshan-kunminghu,vp<%3>,True,,,1,0,0,0,True,selected_kernel,candidate,1,5,for.body,2,2,False,8,2,1,4,True,0,riscv64-unknown-unknown-elf,4,2,8,s000,xiangshan,471934,1.0,[]
core,1,2,xiangshan-kunminghu,vp<%3>,True,,,0.5,0,0,0,True,selected_kernel,candidate,1,6,for.body,2,2,False,8,2,1,8,True,0,riscv64-unknown-unknown-elf,4,4,8,s000,xiangshan,181039,0.38361084388918787,[]
core,1,4,xiangshan-kunminghu,vp<%avl>,True,,,0.4375,0,0,0,False,selected_kernel,candidate,3,11,for.body,2,4,False,14,3,1,16,True,0,riscv64-unknown-unknown-elf,7,8,13,s000,xiangshan,174586,0.3699373217441422,[]
core,1,8,xiangshan-kunminghu,vp<%avl>,True,,,0.34375,0,0,0,False,selected_kernel,candidate,3,19,for.body,2,8,False,14,3,1,32,True,0,riscv64-unknown-unknown-elf,11,16,13,s000,xiangshan,159331,0.3376128865476952,[]
core,7,7,xiangshan-kunminghu,vp<%3>,True,,,3,1,1,0,True,selected_kernel,candidate,1,20,for.body,4,9,False,12,3,1,4,True,0,riscv64-unknown-unknown-elf,12,2,13,s1111,xiangshan,1368994,1.0,[]
core,7,14,xiangshan-kunminghu,vp<%3>,True,,,2.5,1,2,0,True,selected_kernel,candidate,1,36,for.body,4,15,False,12,5,1,8,True,0,riscv64-unknown-unknown-elf,20,4,13,s1111,xiangshan,1377183,1.005981764711898,[]
core,7,28,xiangshan-kunminghu,vp<%avl>,True,,,2.5,1,4,0,False,selected_kernel,candidate,3,72,for.body,4,30,False,18,10,1,16,True,0,riscv64-unknown-unknown-elf,40,8,18,s1111,xiangshan,1160981,0.8480541185717395,[]
core,7,56,xiangshan-kunminghu,vp<%avl>,True,,,2.4375,1,8,0,False,selected_kernel,candidate,3,142,for.body,4,60,False,18,18,1,32,True,0,riscv64-unknown-unknown-elf,78,16,18,s1111,xiangshan,1123047,0.8203447202836536,[]
core,2,1,xiangshan-kunminghu,vp<%3>,True,,,1.5,1,1,0,True,selected_kernel,candidate,1,8,for.body,4,4,False,12,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,13,s125,xiangshan,684788,1.0,[]
core,2,2,xiangshan-kunminghu,vp<%3>,True,,,0.75,1,2,0,True,selected_kernel,candidate,1,10,for.body,4,4,False,12,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,13,s125,xiangshan,388692,0.5676092454891148,[]
core,2,4,xiangshan-kunminghu,vp<%avl>,True,,,0.6875,1,4,0,False,selected_kernel,candidate,3,19,for.body,4,8,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,18,s125,xiangshan,376793,0.5502330648317435,[]
core,2,8,xiangshan-kunminghu,vp<%avl>,True,,,0.59375,1,8,0,False,selected_kernel,candidate,3,35,for.body,4,16,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,18,s125,xiangshan,354097,0.5170899606885635,[]
core,1,1,xiangshan-kunminghu,ir<%sum.04>,True,,,1.5,0,0,0,True,selected_kernel,candidate,6,4,for.body,1,1,False,7,2,1,4,True,0,riscv64-unknown-unknown-elf,3,2,7,s311,xiangshan,198467,1.0,[]
core,1,2,xiangshan-kunminghu,ir<%sum.04>,True,,,0.875,0,0,0,True,selected_kernel,candidate,7,5,for.body,1,1,False,7,2,1,8,True,0,riscv64-unknown-unknown-elf,4,4,7,s311,xiangshan,100355,0.5056508134853653,[]
core,2,8,xiangshan-kunminghu,ir<%sum.04>,True,,,0.6875,0,0,0,False,selected_kernel,candidate,10,13,for.body,1,2,False,13,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,12,s311,xiangshan,101871,0.5132893629671431,[]
core,2,16,xiangshan-kunminghu,ir<%sum.04>,True,,,0.59375,0,0,0,False,selected_kernel,candidate,14,23,for.body,1,4,False,13,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,12,s311,xiangshan,78423,0.39514377705109666,[]
core,3,3,xiangshan-kunminghu,vp<%3>,True,,,4,1,1,0,True,selected_kernel,candidate,1,20,for.body,4,14,False,10,2,1,4,True,0,riscv64-unknown-unknown-elf,16,2,11,s4112,xiangshan,1254522,1.0,[]
core,3,6,xiangshan-kunminghu,vp<%3>,True,,,2.75,1,2,0,True,selected_kernel,candidate,1,30,for.body,4,20,False,10,2,1,8,True,0,riscv64-unknown-unknown-elf,22,4,11,s4112,xiangshan,746233,0.5948345266165121,[]
core,3,12,xiangshan-kunminghu,vp<%avl>,True,,,2.375,1,4,0,False,selected_kernel,candidate,3,54,for.body,4,35,False,16,3,1,16,True,0,riscv64-unknown-unknown-elf,38,8,16,s4112,xiangshan,706672,0.563299806619573,[]
core,3,25,xiangshan-kunminghu,vp<%avl>,True,,,2.125,1,8,0,False,selected_kernel,candidate,3,101,for.body,4,65,False,16,3,1,32,True,0,riscv64-unknown-unknown-elf,68,16,16,s4112,xiangshan,718042,0.5723630195405103,[]
core,6,27,xiangshan-kunminghu,vp<%4>,True,,,7.5,0,0,0,True,selected_kernel,candidate,1,35,for.body,5,5,False,18,3,1,4,True,0,riscv64-unknown-unknown-elf,30,2,17,jacobi-2d-imper-l00,xiangshan,1200885,1.0,[]
core,6,32,xiangshan-kunminghu,vp<%4>,True,,,4.375,0,0,0,True,selected_kernel,candidate,1,40,for.body,5,5,False,18,3,1,8,True,0,riscv64-unknown-unknown-elf,35,4,17,jacobi-2d-imper-l00,xiangshan,729082,0.607120581904179,[]
core,6,60,xiangshan-kunminghu,vp<%avl>,True,,,4,0,0,0,False,selected_kernel,candidate,3,74,for.body,5,10,False,25,4,1,16,True,0,riscv64-unknown-unknown-elf,64,8,23,jacobi-2d-imper-l00,xiangshan,529345,0.4407957464703115,[]
core,6,152,xiangshan-kunminghu,vp<%avl>,True,,,4.875,0,0,0,False,selected_kernel,candidate,3,176,for.body,5,20,False,25,4,1,32,True,0,riscv64-unknown-unknown-elf,156,16,23,jacobi-2d-imper-l00,xiangshan,771458,0.6424078908471669,[]
core,4,2,xiangshan-kunminghu,ir<%y.021>,True,,,1.5,2,2,0,True,selected_kernel,candidate,6,9,for.body,3,3,False,12,2,1,4,True,0,riscv64-unknown-unknown-elf,5,2,14,gesummv-l00,xiangshan,507862,1.0,[]
core,4,4,xiangshan-kunminghu,ir<%y.021>,True,,,0.875,2,4,0,True,selected_kernel,candidate,7,13,for.body,3,3,False,12,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,14,gesummv-l00,xiangshan,369351,0.7272664621491665,[]
core,6,16,xiangshan-kunminghu,ir<%y.021>,True,,,1.1875,2,8,0,False,selected_kernel,candidate,10,33,for.body,3,6,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,19,8,19,gesummv-l00,xiangshan,392315,0.7724834699189937,[]
core,6,32,xiangshan-kunminghu,ir<%y.021>,True,,,1.09375,2,16,0,False,selected_kernel,candidate,14,63,for.body,3,12,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,35,16,19,gesummv-l00,xiangshan,337888,0.6653145933344098,"[""  fi#0: id=2 size=64, align=8, at location [SP]"", ""  fi#1: id=2 size=64, align=8, at location [SP]"", ""408B\t  VS8R_V killed renamable $v24m8, %stack.0 :: (store (<vscale x 1 x s512>) into %stack.0, align 8)"", ""500B\t  VS8R_V killed renamable $v0m8, %stack.1 :: (store (<vscale x 1 x s512>) into %stack.1, align 8)"", ""504B\t  renamable $v0m8 = VL8RE8_V %stack.0 :: (load (<vscale x 1 x s512>) from %stack.0, align 8)"", ""584B\t  renamable $v0m8 = VL8RE8_V %stack.1 :: (load (<vscale x 1 x s512>) from %stack.1, align 8)"", ""  fi#0: id=2 size=64, align=8, at location [SP]"", ""  fi#1: id=2 size=64, align=8, at location [SP]"", ""432B\t  VS8R_V killed renamable $v24m8, %stack.0 :: (store (<vscale x 1 x s512>) into %stack.0, align 8)"", ""544B\t  VS8R_V killed renamable $v0m8, %stack.1 :: (store (<vscale x 1 x s512>) into %stack.1, align 8)"", ""560B\t  renamable $v0m8 = VL8RE8_V %stack.0 :: (load (<vscale x 1 x s512>) from %stack.0, align 8)"", ""672B\t  renamable $v0m8 = VL8RE8_V %stack.1 :: (load (<vscale x 1 x s512>) from %stack.1, align 8)""]"
validation_informed,4,2,xiangshan-kunminghu,ir<%q.018>,True,,,1.5,2,2,0,True,selected_kernel,candidate,6,10,for.body,4,4,False,12,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,14,bicg-l01,xiangshan,606973,1.0,[]
validation_informed,4,4,xiangshan-kunminghu,ir<%q.018>,True,,,0.875,2,4,0,True,selected_kernel,candidate,7,14,for.body,4,4,False,12,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,14,bicg-l01,xiangshan,350537,0.5775166275929902,[]
validation_informed,5,12,xiangshan-kunminghu,ir<%q.018>,True,,,0.9375,2,8,0,False,selected_kernel,candidate,10,31,for.body,4,8,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,15,8,19,bicg-l01,xiangshan,341400,0.56246323971577,[]
validation_informed,5,24,xiangshan-kunminghu,ir<%q.018>,True,,,0.84375,2,16,0,False,selected_kernel,candidate,14,59,for.body,4,16,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,27,16,19,bicg-l01,xiangshan,328917,0.5418972507838076,[]
validation_informed,4,2,xiangshan-kunminghu,vp<%3>,True,,,1.5,2,2,0,True,selected_kernel,candidate,1,10,for.body,4,4,False,11,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,13,gemver-l00,xiangshan,650222,1.0,[]
validation_informed,4,4,xiangshan-kunminghu,vp<%3>,True,,,0.75,2,4,0,True,selected_kernel,candidate,1,14,for.body,4,4,False,11,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,13,gemver-l00,xiangshan,363914,0.5596765412428371,[]
validation_informed,4,8,xiangshan-kunminghu,vp<%avl>,True,,,0.6875,2,8,0,False,selected_kernel,candidate,3,27,for.body,4,8,False,17,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,18,gemver-l00,xiangshan,335283,0.5156438877798659,[]
validation_informed,4,16,xiangshan-kunminghu,vp<%avl>,True,,,0.59375,2,16,0,False,selected_kernel,candidate,3,51,for.body,4,16,False,17,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,18,gemver-l00,xiangshan,322317,0.4957030060502413,[]
