kernel,vf,lmul,interleave_count,software_pipelining,raw_roi_cycles,cycles_per_element,speedup_vs_vf2,run_id,seed,rtl_revision
s000,2,m1,1,off,471934,3.600570679,1.0,d727d32e2224bec693ca36468ecc8fd5,1,75775862a6
s000,4,m2,1,off,181039,1.381217957,2.6068084777313176,80bf69e74c1c21757f3cd909c4de4dec,1,75775862a6
s000,8,m4,1,off,174586,1.331985474,2.7031606199809834,38fb3cc8113b480f9fe04b44767de712,1,75775862a6
s000,16,m8,1,off,159331,1.215599060,2.961972246455492,d338484c093eefd4619cbe56ac7047b9,1,75775862a6
s1111,2,m1,1,off,1368994,10.444595337,1.0,9fd114e6160919a4bb95202e84191103,1,75775862a6
s1111,4,m2,1,off,1377183,10.507072449,0.9940538040333057,ae0cce70b96bc197d4fbf569b40786e4,1,75775862a6
s1111,8,m4,1,off,1160981,8.857582092,1.1791700294836867,70bb5eab5b4de97cfd4999ef6328ef8d,1,75775862a6
s1111,16,m8,1,off,1123047,8.568168640,1.2189997391026377,0d0d6c35029407c67b4ec181ba57a0a7,1,75775862a6
s125,2,m1,1,off,684788,5.224517822,1.0,14f77eddae3c94713e56c3250eaf3991,1,75775862a6
s125,4,m2,1,off,388692,2.965484619,1.761775390283309,cf40605beb3a95d065cbdda81745eadf,1,75775862a6
s125,8,m4,1,off,376793,2.874702454,1.8174116822764754,ff73fd6b27e001f0ecb9f438d9fc0f4d,1,75775862a6
s125,16,m8,1,off,354097,2.701545715,1.9338994682248085,a821d01535f82ead21f7a08deedea6c4,1,75775862a6
s311,2,m1,1,off,198467,1.514183044,1.0,3d63c73a14cdd84f44a642dc23e98ecc,1,75775862a6
s311,4,m2,1,off,100355,0.765647888,1.977649344825868,11e4ab542666f03cc971d54ffacb00b0,1,75775862a6
s311,8,m4,1,off,101871,0.777214050,1.9482188257698463,c1d0e72149171bffffd5090aed8411b4,1,75775862a6
s311,16,m8,1,off,78423,0.598320007,2.5307244048302158,8d3c887e559e68c4b32580e2d89ed7d9,1,75775862a6
s4112,2,m1,1,off,1254522,9.571243286,1.0,34b1e90a6c64a858117834895ef52594,1,75775862a6
s4112,4,m2,1,off,746233,5.693305969,1.6811398048598762,9a457d36903ec3ddc8589960264795f3,1,75775862a6
s4112,8,m4,1,off,706672,5.391479492,1.7752535829918266,f149ff7bdf10a95c5884fa22678fadde,1,75775862a6
s4112,16,m8,1,off,718042,5.478225708,1.7471429247871295,0539054f5131007a76643121deff139f,1,75775862a6
jacobi-2d-imper-l00,2,m1,1,off,1200885,9.162025452,1.0,0e26c8d42f0cd47cf4700f717306687d,1,75775862a6
jacobi-2d-imper-l00,4,m2,1,off,729082,5.562454224,1.6471192540756732,83ca3a52631bb9b9b6060908546ff112,1,75775862a6
jacobi-2d-imper-l00,8,m4,1,off,529345,4.038581848,2.268624432081157,0c0feee1c9641a4a56711c6b050b5a6b,1,75775862a6
jacobi-2d-imper-l00,16,m8,1,off,771458,5.885757446,1.5566433947149423,c1ec0ff205376d89add68d697e139887,1,75775862a6
gesummv-l00,2,m1,1,off,507862,3.874679565,1.0,cb2927dc11203421adf656f4fd69b8fc,1,75775862a6
gesummv-l00,4,m2,1,off,369351,2.817924500,1.3750118451012723,ecf0d629cb3caa70c0b66d8b19e82b57,1,75775862a6
gesummv-l00,8,m4,1,off,392315,2.993125916,1.2945260823572895,0a1684a75bb1a930e934a7ef2182b8ef,1,75775862a6
gesummv-l00,16,m8,1,off,337888,2.577880859,1.5030483473813807,325213d5aeabb6b9267dffec5af673f6,1,75775862a6
bicg-l01,2,m1,1,off,606973,4.630836487,1.0,e13a6d35914a590244be8a97aa943363,1,75775862a6
bicg-l01,4,m2,1,off,350537,2.674385071,1.7315518761214936,9c985b3f2a9b61bcb36b2e1ce47a4081,1,75775862a6
bicg-l01,8,m4,1,off,341400,2.604675293,1.7778939660222612,ca9ac7e7ccaf0699d034d32e8d26575b,1,75775862a6
bicg-l01,16,m8,1,off,328917,2.509437561,1.8453682844000159,d3da13b46bdcf9c57acfbce621e9d503,1,75775862a6
gemver-l00,2,m1,1,off,650222,4.960800171,1.0,317753327983755188d5d304d0750e9a,1,75775862a6
gemver-l00,4,m2,1,off,363914,2.776443481,1.786746319185302,7014f1a50dd63ab991f14b17b3c8ea2b,1,75775862a6
gemver-l00,8,m4,1,off,335283,2.558006287,1.9393229003558188,058ea062bc28cdc1f0782f630fc4f5df,1,75775862a6
gemver-l00,16,m8,1,off,322317,2.459083557,2.0173369695051764,5eb4c26ff69773212f5fcb62bc13c3d1,1,75775862a6
