group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
core,legacy,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 4, ""s4112"": 16}",[],7/7,42/42,21/21,1.1096373663057442,1.457382236537608,0.8095238095238095,0.8461538461538461,1.5704877467658642,2.09806367457264
core,largest_vf,"{""gesummv-l00"": 16, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0576888336595451,1.457382236537608,,,,
core,tp_only,{},"[""s000: missing or invalid compiler score"", ""s125: missing or invalid compiler score"", ""s311: missing or invalid compiler score"", ""s1111: missing or invalid compiler score"", ""s4112: missing or invalid compiler score"", ""jacobi-2d-imper-l00: missing or invalid compiler score"", ""gesummv-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",0/7,0/42,0/21,,,,,,
core,lcd_only,{},"[""s000: missing or invalid compiler score"", ""s125: missing or invalid compiler score"", ""s311: missing or invalid compiler score"", ""s1111: missing or invalid compiler score"", ""s4112: missing or invalid compiler score"", ""jacobi-2d-imper-l00: missing or invalid compiler score"", ""gesummv-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",0/7,0/42,0/21,,,,,,
core,max_tp_lcd,{},"[""s000: missing or invalid compiler score"", ""s125: missing or invalid compiler score"", ""s311: missing or invalid compiler score"", ""s1111: missing or invalid compiler score"", ""s4112: missing or invalid compiler score"", ""jacobi-2d-imper-l00: missing or invalid compiler score"", ""gesummv-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",0/7,0/42,0/21,,,,,,
core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0856378240781233,1.457382236537608,,,,
validation_informed,legacy,"{""bicg-l01"": 4, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.703223683251184,1.755839558740665
validation_informed,largest_vf,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
validation_informed,tp_only,{},"[""bicg-l01: missing or invalid compiler score"", ""gemver-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",0/2,0/12,0/6,,,,,,
validation_informed,lcd_only,{},"[""bicg-l01: missing or invalid compiler score"", ""gemver-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",0/2,0/12,0/6,,,,,,
validation_informed,max_tp_lcd,{},"[""bicg-l01: missing or invalid compiler score"", ""gemver-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",0/2,0/12,0/6,,,,,,
validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
