round,failures,group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
round-00-coverage,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""s000"": 16, ""s125"": 16, ""s311"": 16}","[""s1111: missing or invalid compiler score"", ""s4112: missing or invalid compiler score"", ""jacobi-2d-imper-l00: missing or invalid compiler score"", ""Relative scale undefined: missing/invalid/zero score or reference""]",4/7,24/42,12/21,,,,,,
round-00-coverage,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0856378240781233,1.457382236537608,,,,
round-00-coverage,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 4, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.5462429360570729,1.6784787361065072
round-00-coverage,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-01-coverage,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.071227484097515,1.457382236537608,0.8095238095238095,0.8461538461538461,1.4295807836648422,1.8148995456649255
round-01-coverage,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0856378240781233,1.457382236537608,,,,
round-01-coverage,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 4, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.5462429360570729,1.6784787361065072
round-01-coverage,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-02-initial-full,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.071227484097515,1.457382236537608,0.8095238095238095,0.8461538461538461,1.4295807836648422,1.8148995456649255
round-02-initial-full,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 16, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0856378240781233,1.457382236537608,,,,
