group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,legacy,s000,2,1.25,471934,3.6005706787109375,1.0,1.0,1.0
core,legacy,s000,4,1.0,181039,1.3812179565429688,0.8,0.38361084388918787,2.085446782185054
core,legacy,s000,8,0.9375,174586,1.3319854736328125,0.75,0.3699373217441422,2.027370464985738
core,legacy,s000,16,0.84375,159331,1.2155990600585938,0.675,0.3376128865476952,1.9993312663574572
core,legacy,s125,2,2.0,684788,5.224517822265625,1.0,1.0,1.0
core,legacy,s125,4,1.75,388692,2.965484619140625,0.875,0.5676092454891148,1.5415534664978956
core,legacy,s125,8,1.6875,376793,2.8747024536132812,0.84375,0.5502330648317435,1.5334411069207763
core,legacy,s125,16,1.59375,354097,2.7015457153320312,0.796875,0.5170899606885635,1.541076138741644
core,legacy,s311,2,1.0,198467,1.5141830444335938,1.0,1.0,1.0
core,legacy,s311,4,0.75,100355,0.7656478881835938,0.75,0.5056508134853653,1.483237008619401
core,legacy,s311,8,0.9375,101871,0.7772140502929688,0.9375,0.5132893629671431,1.826455149159231
core,legacy,s311,16,0.84375,78423,0.5983200073242188,0.84375,0.39514377705109666,2.1352987165754946
core,legacy,s1111,2,5.0,1368994,10.444595336914062,1.0,1.0,1.0
core,legacy,s1111,4,4.875,1377183,10.507072448730469,0.975,1.005981764711898,1.03177616893528
core,legacy,s1111,8,4.875,1160981,8.857582092285156,0.975,0.8480541185717395,1.1496907787465944
core,legacy,s1111,16,4.8125,1123047,8.568168640136719,0.9625,0.8203447202836536,1.1732872488862889
core,legacy,s4112,2,3.75,1254522,9.571243286132812,1.0,1.0,1.0
core,legacy,s4112,4,3.5,746233,5.693305969238281,0.9333333333333333,0.5948345266165121,1.5690638178692178
core,legacy,s4112,8,3.4375,706672,5.3914794921875,0.9166666666666666,0.563299806619573,1.6273157844091743
core,legacy,s4112,16,3.375,718042,5.4782257080078125,0.9,0.5723630195405103,1.5724286323084165
core,legacy,jacobi-2d-imper-l00,2,3.75,1200885,9.162025451660156,1.0,1.0,1.0
core,legacy,jacobi-2d-imper-l00,4,3.375,729082,5.5624542236328125,0.9,0.607120581904179,1.482407328668106
core,legacy,jacobi-2d-imper-l00,8,3.25,529345,4.038581848144531,0.8666666666666667,0.4407957464703115,1.9661411744703359
core,legacy,jacobi-2d-imper-l00,16,3.125,771458,5.8857574462890625,0.8333333333333334,0.6424078908471669,1.2972028289291186
core,legacy,gesummv-l00,2,2.25,507862,3.8746795654296875,1.0,1.0,1.0
core,legacy,gesummv-l00,4,2.0,369351,2.8179244995117188,0.8888888888888888,0.7272664621491665,1.2222327512011308
core,legacy,gesummv-l00,8,2.4375,392315,2.9931259155273438,1.0833333333333333,0.7724834699189937,1.4024032558870634
core,legacy,gesummv-l00,16,2.34375,337888,2.577880859375,1.0416666666666667,0.6653145933344098,1.565675361855605
core,tp_only,s000,2,1.0,471934,3.6005706787109375,1.0,1.0,1.0
core,tp_only,s000,4,0.75,181039,1.3812179565429688,0.75,0.38361084388918787,1.9551063582984882
core,tp_only,s000,8,0.6875,174586,1.3319854736328125,0.6875,0.3699373217441422,1.8584229262369263
core,tp_only,s000,16,0.59375,159331,1.2155990600585938,0.59375,0.3376128865476952,1.7586710213329484
core,tp_only,s125,2,1.5,684788,5.224517822265625,1.0,1.0,1.0
core,tp_only,s125,4,1.25,388692,2.965484619140625,0.8333333333333334,0.5676092454891148,1.4681461585694244
core,tp_only,s125,8,1.1875,376793,2.8747024536132812,0.7916666666666666,0.5502330648317435,1.4387842484688764
core,tp_only,s125,16,1.09375,354097,2.7015457153320312,0.7291666666666666,0.5170899606885635,1.4101350289139227
core,tp_only,s311,2,0.75,198467,1.5141830444335938,1.0,1.0,1.0
core,tp_only,s311,4,0.5,100355,0.7656478881835938,0.6666666666666666,0.5056508134853653,1.3184328965505787
core,tp_only,s311,8,0.6875,101871,0.7772140502929688,0.9166666666666666,0.5132893629671431,1.7858672569556924
core,tp_only,s311,16,0.59375,78423,0.5983200073242188,0.7916666666666666,0.39514377705109666,2.0034901538239205
core,tp_only,s1111,2,3.0,1368994,10.444595336914062,1.0,1.0,1.0
core,tp_only,s1111,4,2.875,1377183,10.507072448730469,0.9583333333333334,1.005981764711898,1.0497201023080676
core,tp_only,s1111,8,2.875,1160981,8.857582092285156,0.9583333333333334,0.8480541185717395,1.1300379449218665
core,tp_only,s1111,16,2.8125,1123047,8.568168640136719,0.9375,0.8203447202836536,1.1428122554087228
core,tp_only,s4112,2,2.75,1254522,9.571243286132812,1.0,1.0,1.0
core,tp_only,s4112,4,2.5,746233,5.693305969238281,0.9090909090909091,0.5948345266165121,1.5283089135089782
core,tp_only,s4112,8,2.4375,706672,5.3914794921875,0.8863636363636364,0.563299806619573,1.5735202212882098
core,tp_only,s4112,16,2.34375,718042,5.4782257080078125,0.8522727272727273,0.5723630195405103,1.4890422654435762
core,tp_only,jacobi-2d-imper-l00,2,2.5,1200885,9.162025451660156,1.0,1.0,1.0
core,tp_only,jacobi-2d-imper-l00,4,2.125,729082,5.5624542236328125,0.85,0.607120581904179,1.4000513659643223
core,tp_only,jacobi-2d-imper-l00,8,2.0,529345,4.038581848144531,0.8,0.4407957464703115,1.8148995456649255
core,tp_only,jacobi-2d-imper-l00,16,1.875,771458,5.8857574462890625,0.75,0.6424078908471669,1.1674825460362068
core,tp_only,gesummv-l00,2,1.5,507862,3.8746795654296875,1.0,1.0,1.0
core,tp_only,gesummv-l00,4,1.25,369351,2.8179244995117188,0.8333333333333334,0.7272664621491665,1.1458432042510602
core,tp_only,gesummv-l00,8,1.6875,392315,2.9931259155273438,1.125,0.7724834699189937,1.4563418426519505
core,tp_only,gesummv-l00,16,1.59375,337888,2.577880859375,1.0625,0.6653145933344098,1.596988869092717
