group,mode,kernel,vf_a,vf_b,near_tie,correct
core,legacy,s000,2,4,False,True
core,legacy,s000,2,8,False,True
core,legacy,s000,2,16,False,True
core,legacy,s000,4,8,False,True
core,legacy,s000,4,16,False,True
core,legacy,s000,8,16,False,True
core,legacy,s125,2,4,False,True
core,legacy,s125,2,8,False,True
core,legacy,s125,2,16,False,True
core,legacy,s125,4,8,False,True
core,legacy,s125,4,16,False,True
core,legacy,s125,8,16,False,True
core,legacy,s311,2,4,False,True
core,legacy,s311,2,8,False,True
core,legacy,s311,2,16,False,True
core,legacy,s311,4,8,True,True
core,legacy,s311,4,16,False,False
core,legacy,s311,8,16,False,True
core,legacy,s1111,2,4,True,False
core,legacy,s1111,2,8,False,True
core,legacy,s1111,2,16,False,True
core,legacy,s1111,4,8,False,False
core,legacy,s1111,4,16,False,True
core,legacy,s1111,8,16,False,True
core,legacy,s4112,2,4,False,True
core,legacy,s4112,2,8,False,True
core,legacy,s4112,2,16,False,True
core,legacy,s4112,4,8,False,True
core,legacy,s4112,4,16,False,True
core,legacy,s4112,8,16,True,False
core,legacy,jacobi-2d-imper-l00,2,4,False,True
core,legacy,jacobi-2d-imper-l00,2,8,False,True
core,legacy,jacobi-2d-imper-l00,2,16,False,True
core,legacy,jacobi-2d-imper-l00,4,8,False,True
core,legacy,jacobi-2d-imper-l00,4,16,False,False
core,legacy,jacobi-2d-imper-l00,8,16,False,False
core,legacy,gesummv-l00,2,4,False,True
core,legacy,gesummv-l00,2,8,False,True
core,legacy,gesummv-l00,2,16,False,True
core,legacy,gesummv-l00,4,8,False,True
core,legacy,gesummv-l00,4,16,False,False
core,legacy,gesummv-l00,8,16,False,True
core,tp_only,s000,2,4,False,True
core,tp_only,s000,2,8,False,True
core,tp_only,s000,2,16,False,True
core,tp_only,s000,4,8,False,True
core,tp_only,s000,4,16,False,True
core,tp_only,s000,8,16,False,True
core,tp_only,s125,2,4,False,True
core,tp_only,s125,2,8,False,True
core,tp_only,s125,2,16,False,True
core,tp_only,s125,4,8,False,True
core,tp_only,s125,4,16,False,True
core,tp_only,s125,8,16,False,True
core,tp_only,s311,2,4,False,True
core,tp_only,s311,2,8,False,True
core,tp_only,s311,2,16,False,True
core,tp_only,s311,4,8,True,True
core,tp_only,s311,4,16,False,False
core,tp_only,s311,8,16,False,True
core,tp_only,s1111,2,4,True,False
core,tp_only,s1111,2,8,False,True
core,tp_only,s1111,2,16,False,True
core,tp_only,s1111,4,8,False,False
core,tp_only,s1111,4,16,False,True
core,tp_only,s1111,8,16,False,True
core,tp_only,s4112,2,4,False,True
core,tp_only,s4112,2,8,False,True
core,tp_only,s4112,2,16,False,True
core,tp_only,s4112,4,8,False,True
core,tp_only,s4112,4,16,False,True
core,tp_only,s4112,8,16,True,False
core,tp_only,jacobi-2d-imper-l00,2,4,False,True
core,tp_only,jacobi-2d-imper-l00,2,8,False,True
core,tp_only,jacobi-2d-imper-l00,2,16,False,True
core,tp_only,jacobi-2d-imper-l00,4,8,False,True
core,tp_only,jacobi-2d-imper-l00,4,16,False,False
core,tp_only,jacobi-2d-imper-l00,8,16,False,False
core,tp_only,gesummv-l00,2,4,False,True
core,tp_only,gesummv-l00,2,8,False,True
core,tp_only,gesummv-l00,2,16,False,True
core,tp_only,gesummv-l00,4,8,False,True
core,tp_only,gesummv-l00,4,16,False,False
core,tp_only,gesummv-l00,8,16,False,True
core,lcd_only,s000,2,4,False,True
core,lcd_only,s000,2,8,False,True
core,lcd_only,s000,2,16,False,True
core,lcd_only,s000,4,8,False,False
core,lcd_only,s000,4,16,False,True
core,lcd_only,s000,8,16,False,True
core,lcd_only,s125,2,4,False,True
core,lcd_only,s125,2,8,False,True
core,lcd_only,s125,2,16,False,True
core,lcd_only,s125,4,8,False,False
core,lcd_only,s125,4,16,False,True
core,lcd_only,s125,8,16,False,True
core,lcd_only,s311,2,4,False,True
core,lcd_only,s311,2,8,False,True
core,lcd_only,s311,2,16,False,True
core,lcd_only,s311,4,8,True,False
core,lcd_only,s311,4,16,False,True
core,lcd_only,s311,8,16,False,True
core,lcd_only,s1111,2,4,True,False
core,lcd_only,s1111,2,8,False,True
core,lcd_only,s1111,2,16,False,True
core,lcd_only,s1111,4,8,False,False
core,lcd_only,s1111,4,16,False,True
core,lcd_only,s1111,8,16,False,True
core,lcd_only,s4112,2,4,False,True
core,lcd_only,s4112,2,8,False,True
core,lcd_only,s4112,2,16,False,True
core,lcd_only,s4112,4,8,False,False
core,lcd_only,s4112,4,16,False,True
core,lcd_only,s4112,8,16,True,False
core,lcd_only,jacobi-2d-imper-l00,2,4,False,True
core,lcd_only,jacobi-2d-imper-l00,2,8,False,True
core,lcd_only,jacobi-2d-imper-l00,2,16,False,True
core,lcd_only,jacobi-2d-imper-l00,4,8,False,False
core,lcd_only,jacobi-2d-imper-l00,4,16,False,False
core,lcd_only,jacobi-2d-imper-l00,8,16,False,False
core,lcd_only,gesummv-l00,2,4,False,True
core,lcd_only,gesummv-l00,2,8,False,True
core,lcd_only,gesummv-l00,2,16,False,True
core,lcd_only,gesummv-l00,4,8,False,False
core,lcd_only,gesummv-l00,4,16,False,True
core,lcd_only,gesummv-l00,8,16,False,True
core,max_tp_lcd,s000,2,4,False,True
core,max_tp_lcd,s000,2,8,False,True
core,max_tp_lcd,s000,2,16,False,True
core,max_tp_lcd,s000,4,8,False,True
core,max_tp_lcd,s000,4,16,False,True
core,max_tp_lcd,s000,8,16,False,True
core,max_tp_lcd,s125,2,4,False,True
core,max_tp_lcd,s125,2,8,False,True
core,max_tp_lcd,s125,2,16,False,True
core,max_tp_lcd,s125,4,8,False,True
core,max_tp_lcd,s125,4,16,False,True
core,max_tp_lcd,s125,8,16,False,True
core,max_tp_lcd,s311,2,4,False,True
core,max_tp_lcd,s311,2,8,False,True
core,max_tp_lcd,s311,2,16,False,True
core,max_tp_lcd,s311,4,8,True,True
core,max_tp_lcd,s311,4,16,False,True
core,max_tp_lcd,s311,8,16,False,True
core,max_tp_lcd,s1111,2,4,True,False
core,max_tp_lcd,s1111,2,8,False,True
core,max_tp_lcd,s1111,2,16,False,True
core,max_tp_lcd,s1111,4,8,False,False
core,max_tp_lcd,s1111,4,16,False,True
core,max_tp_lcd,s1111,8,16,False,True
core,max_tp_lcd,s4112,2,4,False,True
core,max_tp_lcd,s4112,2,8,False,True
core,max_tp_lcd,s4112,2,16,False,True
core,max_tp_lcd,s4112,4,8,False,True
core,max_tp_lcd,s4112,4,16,False,True
core,max_tp_lcd,s4112,8,16,True,False
core,max_tp_lcd,jacobi-2d-imper-l00,2,4,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,2,8,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,2,16,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,4,8,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,4,16,False,False
core,max_tp_lcd,jacobi-2d-imper-l00,8,16,False,False
core,max_tp_lcd,gesummv-l00,2,4,False,True
core,max_tp_lcd,gesummv-l00,2,8,False,True
core,max_tp_lcd,gesummv-l00,2,16,False,True
core,max_tp_lcd,gesummv-l00,4,8,False,True
core,max_tp_lcd,gesummv-l00,4,16,False,False
core,max_tp_lcd,gesummv-l00,8,16,False,True
validation_informed,legacy,bicg-l01,2,4,False,True
validation_informed,legacy,bicg-l01,2,8,False,True
validation_informed,legacy,bicg-l01,2,16,False,True
