group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,legacy,s000,2,1.25,471934,3.6005706787109375,1.0,1.0,1.0
core,legacy,s000,4,0.75,181039,1.3812179565429688,0.6,0.38361084388918787,1.5640850866387905
core,legacy,s000,8,0.6875,174586,1.3319854736328125,0.55,0.3699373217441422,1.4867383409895412
core,legacy,s000,16,0.59375,159331,1.2155990600585938,0.475,0.3376128865476952,1.4069368170663588
core,legacy,s125,2,2.0,684788,5.224517822265625,1.0,1.0,1.0
core,legacy,s125,4,1.25,388692,2.965484619140625,0.625,0.5676092454891148,1.1011096189270684
core,legacy,s125,8,1.1875,376793,2.8747024536132812,0.59375,0.5502330648317435,1.0790881863516573
core,legacy,s125,16,1.09375,354097,2.7015457153320312,0.546875,0.5170899606885635,1.0576012716854422
core,legacy,s311,2,1.0,198467,1.5141830444335938,1.0,1.0,1.0
core,legacy,s311,4,0.625,100355,0.7656478881835938,0.625,0.5056508134853653,1.2360308405161675
core,legacy,s311,8,0.8125,101871,0.7772140502929688,0.8125,0.5132893629671431,1.5829277959380001
core,legacy,s311,16,0.71875,78423,0.5983200073242188,0.71875,0.39514377705109666,1.8189581659717176
core,legacy,s1111,2,5.0,1368994,10.444595336914062,1.0,1.0,1.0
core,legacy,s1111,4,4.5,1377183,10.507072448730469,0.9,1.005981764711898,1.1177575163465534
core,legacy,s1111,8,4.5,1160981,8.857582092285156,0.9,0.8480541185717395,1.061253026535318
core,legacy,s1111,16,4.4375,1123047,8.568168640136719,0.8875,0.8203447202836536,1.0818622684535908
core,legacy,s4112,2,3.75,1254522,9.571243286132812,1.0,1.0,1.0
core,legacy,s4112,4,3.125,746233,5.693305969238281,0.8333333333333334,0.5948345266165121,1.40094983738323
core,legacy,s4112,8,3.0625,706672,5.3914794921875,0.8166666666666667,0.563299806619573,1.4497904261099916
core,legacy,s4112,16,3.0,718042,5.4782257080078125,0.8,0.5723630195405103,1.3977143398297036
core,legacy,jacobi-2d-imper-l00,2,7.25,1200885,9.162025451660156,1.0,1.0,1.0
core,legacy,jacobi-2d-imper-l00,4,4.25,729082,5.5624542236328125,0.5862068965517241,0.607120581904179,1.0356762867777172
core,legacy,jacobi-2d-imper-l00,8,4.625,529345,4.038581848144531,0.6379310344827587,0.4407957464703115,1.4472259308103932
core,legacy,jacobi-2d-imper-l00,16,6.25,771458,5.8857574462890625,0.8620689655172413,0.6424078908471669,1.3419339609611571
core,legacy,gesummv-l00,2,2.25,507862,3.8746795654296875,1.0,1.0,1.0
core,legacy,gesummv-l00,4,1.625,369351,2.8179244995117188,0.7222222222222222,0.7272664621491665,1.0069843322065382
core,legacy,gesummv-l00,8,2.0625,392315,2.9931259155273438,0.9166666666666666,0.7724834699189937,1.1866489088275152
core,legacy,gesummv-l00,16,1.96875,337888,2.577880859375,0.875,0.6653145933344098,1.3151673039587082
core,tp_only,s000,2,1.0,471934,3.6005706787109375,1.0,1.0,1.0
core,tp_only,s000,4,0.5,181039,1.3812179565429688,0.5,0.38361084388918787,1.3034042388656588
core,tp_only,s000,8,0.4375,174586,1.3319854736328125,0.4375,0.3699373217441422,1.1826327712416804
core,tp_only,s000,16,0.34375,159331,1.2155990600585938,0.34375,0.3376128865476952,1.0181779597190754
core,tp_only,s125,2,1.5,684788,5.224517822265625,1.0,1.0,1.0
core,tp_only,s125,4,0.75,388692,2.965484619140625,0.5,0.5676092454891148,1.1352184909782297
core,tp_only,s125,8,0.6875,376793,2.8747024536132812,0.4583333333333333,0.5502330648317435,1.2005085050874404
core,tp_only,s125,16,0.59375,354097,2.7015457153320312,0.3958333333333333,0.5170899606885635,1.3063325322658448
core,tp_only,s311,2,0.75,198467,1.5141830444335938,1.0,1.0,1.0
core,tp_only,s311,4,0.5,100355,0.7656478881835938,0.6666666666666666,0.5056508134853653,1.3184328965505787
core,tp_only,s311,8,0.6875,101871,0.7772140502929688,0.9166666666666666,0.5132893629671431,1.7858672569556924
core,tp_only,s311,16,0.59375,78423,0.5983200073242188,0.7916666666666666,0.39514377705109666,2.0034901538239205
core,tp_only,s1111,2,3.0,1368994,10.444595336914062,1.0,1.0,1.0
core,tp_only,s1111,4,2.5,1377183,10.507072448730469,0.8333333333333334,1.005981764711898,1.2071781176542775
