group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
core,legacy,"{'s000': 16, 's125': 16, 's311': 4, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 8, 'gesummv-l00': 4}",[],7/7,42/42,21/21,1.0515100649511175,1.2796628540096655,0.8809523809523809,0.9230769230769231,1.2190365384947903,1.5640850866387905
core,largest_vf,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 16}",[],7/7,not applicable,not applicable,1.0576888336595451,1.457382236537608,,,,
core,tp_only,"{'s000': 16, 's125': 16, 's311': 4, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 8, 'gesummv-l00': 4}",[],7/7,42/42,21/21,1.0515100649511175,1.2796628540096655,0.8809523809523809,0.9230769230769231,1.2087660940613092,1.3184328965505787
core,lcd_only,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 16, 'gesummv-l00': 16}",[],7/7,42/42,21/21,1.0576888336595451,1.457382236537608,0.7380952380952381,0.7948717948717948,1.4569795909536416,2.027370464985738
core,max_tp_lcd,"{'s000': 16, 's125': 16, 's311': 16, 's1111': 16, 's4112': 16, 'jacobi-2d-imper-l00': 8, 'gesummv-l00': 4}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1185016643179515,1.2467425065414282
core,automatic,"{'s000': 16, 's125': 16, 's311': 16, 's1111': None, 's4112': 16, 'jacobi-2d-imper-l00': 8, 'gesummv-l00': None}","['s1111: actual selection absent or outside measured candidates: None', 'gesummv-l00: actual selection absent or outside measured candidates: None']",5/7,not applicable,not applicable,,,,,,
validation_informed,legacy,"{'bicg-l01': 4, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.2981551751087295,1.369413466706132
validation_informed,largest_vf,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
validation_informed,tp_only,"{'bicg-l01': 4, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.131718573153826,1.2036677931301372
validation_informed,lcd_only,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,0.9090909090909091,1.326659389139449,1.6562128032628165
validation_informed,max_tp_lcd,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
validation_informed,automatic,"{'bicg-l01': 16, 'gemver-l00': 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
